timestamp;datetime;Head.state;Head.px;Head.py;Head.pz;Head.rx;Head.ry;Head.rz;Neck.state;Neck.px;Neck.py;Neck.pz;Neck.rx;Neck.ry;Neck.rz;SpineShoulder.state;SpineShoulder.px;SpineShoulder.py;SpineShoulder.pz;SpineShoulder.rx;SpineShoulder.ry;SpineShoulder.rz;SpineMid.state;SpineMid.px;SpineMid.py;SpineMid.pz;SpineMid.rx;SpineMid.ry;SpineMid.rz;SpineBase.state;SpineBase.px;SpineBase.py;SpineBase.pz;SpineBase.rx;SpineBase.ry;SpineBase.rz;ShoulderRight.state;ShoulderRight.px;ShoulderRight.py;ShoulderRight.pz;ShoulderRight.rx;ShoulderRight.ry;ShoulderRight.rz;ShoulderLeft.state;ShoulderLeft.px;ShoulderLeft.py;ShoulderLeft.pz;ShoulderLeft.rx;ShoulderLeft.ry;ShoulderLeft.rz;HipRight.state;HipRight.px;HipRight.py;HipRight.pz;HipRight.rx;HipRight.ry;HipRight.rz;HipLeft.state;HipLeft.px;HipLeft.py;HipLeft.pz;HipLeft.rx;HipLeft.ry;HipLeft.rz;ElbowRight.state;ElbowRight.px;ElbowRight.py;ElbowRight.pz;ElbowRight.rx;ElbowRight.ry;ElbowRight.rz;WristRight.state;WristRight.px;WristRight.py;WristRight.pz;WristRight.rx;WristRight.ry;WristRight.rz;HandRight.state;HandRight.px;HandRight.py;HandRight.pz;HandRight.rx;HandRight.ry;HandRight.rz;HandTipRight.state;HandTipRight.px;HandTipRight.py;HandTipRight.pz;HandTipRight.rx;HandTipRight.ry;HandTipRight.rz;ThumbRight.state;ThumbRight.px;ThumbRight.py;ThumbRight.pz;ThumbRight.rx;ThumbRight.ry;ThumbRight.rz;ElbowLeft.state;ElbowLeft.px;ElbowLeft.py;ElbowLeft.pz;ElbowLeft.rx;ElbowLeft.ry;ElbowLeft.rz;WristLeft.state;WristLeft.px;WristLeft.py;WristLeft.pz;WristLeft.rx;WristLeft.ry;WristLeft.rz;HandLeft.state;HandLeft.px;HandLeft.py;HandLeft.pz;HandLeft.rx;HandLeft.ry;HandLeft.rz;HandTipLeft.state;HandTipLeft.px;HandTipLeft.py;HandTipLeft.pz;HandTipLeft.rx;HandTipLeft.ry;HandTipLeft.rz;ThumbLeft.state;ThumbLeft.px;ThumbLeft.py;ThumbLeft.pz;ThumbLeft.rx;ThumbLeft.ry;ThumbLeft.rz;KneeRight.state;KneeRight.px;KneeRight.py;KneeRight.pz;KneeRight.rx;KneeRight.ry;KneeRight.rz;AnkleRight.state;AnkleRight.px;AnkleRight.py;AnkleRight.pz;AnkleRight.rx;AnkleRight.ry;AnkleRight.rz;FootRight.state;FootRight.px;FootRight.py;FootRight.pz;FootRight.rx;FootRight.ry;FootRight.rz;KneeLeft.state;KneeLeft.px;KneeLeft.py;KneeLeft.pz;KneeLeft.rx;KneeLeft.ry;KneeLeft.rz;AnkleLeft.state;AnkleLeft.px;AnkleLeft.py;AnkleLeft.pz;AnkleLeft.rx;AnkleLeft.ry;AnkleLeft.rz;FootLeft.state;FootLeft.px;FootLeft.py;FootLeft.pz;FootLeft.rx;FootLeft.ry;FootLeft.rz
1664462785.533163;2022-09-29_15:46:25.533163;2.000000;-0.497711;0.209749;2.866987;0.000000;0.000000;0.000000;2.000000;-0.509543;0.084127;2.873087;0.025803;0.996354;-0.010116;2.000000;-0.512895;0.021033;2.874098;0.025190;0.996260;0.014648;2.000000;-0.522095;-0.171076;2.867692;0.025462;0.996305;0.034523;2.000000;-0.534065;-0.432609;2.848640;0.025208;0.996825;0.034709;2.000000;-0.366737;-0.003188;2.885996;0.761209;0.646773;0.045217;2.000000;-0.645860;0.005991;2.840690;0.740546;-0.660822;0.078258;2.000000;-0.445968;-0.431242;2.827049;0.699543;0.703218;-0.055724;2.000000;-0.609779;-0.424240;2.805066;-0.653099;0.710997;-0.160548;2.000000;-0.338714;-0.187667;2.832572;0.834498;-0.012747;0.528061;2.000000;-0.379386;-0.281741;2.681542;0.280401;-0.491196;0.824064;1.000000;-0.397999;-0.310059;2.629702;0.293063;-0.520939;0.801703;2.000000;-0.405011;-0.353179;2.562998;0.000000;0.000000;0.000000;2.000000;-0.373978;-0.344713;2.621500;0.000000;0.000000;0.000000;2.000000;-0.678560;-0.204938;2.781164;0.872566;-0.002220;-0.463213;2.000000;-0.609621;-0.284732;2.633017;0.608970;-0.173835;0.590388;1.000000;-0.579570;-0.307597;2.581870;0.578419;-0.146593;0.587586;2.000000;-0.527422;-0.341148;2.532961;0.000000;0.000000;0.000000;2.000000;-0.549412;-0.299313;2.570000;0.000000;0.000000;0.000000;2.000000;-0.477257;-0.409828;2.489877;-0.501143;0.543767;-0.466154;2.000000;-0.480058;-0.761865;2.535961;0.690677;0.044204;0.720222;2.000000;-0.477377;-0.841462;2.467566;0.000000;0.000000;0.000000;2.000000;-0.554789;-0.421353;2.482098;0.554189;0.525603;-0.434130;2.000000;-0.587249;-0.774048;2.518987;0.830299;-0.066806;-0.553011;2.000000;-0.556943;-0.844252;2.439019;0.000000;0.000000;0.00000
1664462785.976215;2022-09-29_15:46:25.976215;2.000000;-0.469993;0.078998;2.492709;0.000000;0.000000;0.000000;2.000000;-0.477649;-0.017314;2.532750;0.029896;0.840129;-0.535857;2.000000;-0.487306;-0.047808;2.597180;0.028477;0.847589;-0.524024;2.000000;-0.514573;-0.141536;2.781605;0.027560;0.856677;-0.509124;2.000000;-0.548763;-0.270789;3.015304;0.027999;0.856744;-0.509100;2.000000;-0.344641;-0.060185;2.600937;0.636477;0.574493;-0.371614;2.000000;-0.624945;-0.086561;2.586994;0.668821;-0.529752;0.433409;2.000000;-0.462074;-0.263412;2.992396;0.542096;0.681708;-0.406369;2.000000;-0.623479;-0.272018;2.972526;-0.510905;0.680093;-0.496100;2.000000;-0.314062;-0.222806;2.700489;0.806508;0.214907;0.520196;1.000000;-0.402332;-0.352679;2.517269;0.768143;-0.391551;0.423157;1.000000;-0.433238;-0.405582;2.490030;0.860359;-0.310866;0.392779;2.000000;-0.438857;-0.441501;2.439656;0.000000;0.000000;0.000000;2.000000;-0.404344;-0.412887;2.443210;0.000000;0.000000;0.000000;2.000000;-0.695789;-0.234442;2.622314;0.863389;-0.243264;-0.442013;2.000000;-0.615077;-0.380601;2.468699;0.829831;0.329998;-0.365356;2.000000;-0.607886;-0.439206;2.451246;0.907404;0.111013;-0.390565;2.000000;-0.609880;-0.490147;2.443717;0.000000;0.000000;0.000000;2.000000;-0.631655;-0.424410;2.417552;0.000000;0.000000;0.000000;2.000000;-0.436398;-0.410094;2.606861;0.538102;-0.404127;0.622817;2.000000;-0.461655;-0.776947;2.585058;0.602095;-0.044322;0.797136;2.000000;-0.449969;-0.845334;2.522982;0.000000;0.000000;0.000000;2.000000;-0.602456;-0.402038;2.580519;0.581462;0.429880;-0.564893;2.000000;-0.592299;-0.774766;2.549623;0.707569;0.038799;-0.705304;2.000000;-0.590289;-0.836916;2.471392;0.000000;0.000000;0.00000
1664462786.073562;2022-09-29_15:46:26.073562;2.000000;-0.445254;0.077862;2.418546;0.000000;0.000000;0.000000;2.000000;-0.456075;-0.015326;2.463418;0.046320;0.831769;-0.548331;2.000000;-0.467862;-0.044886;2.531280;0.045079;0.837139;-0.540188;2.000000;-0.501424;-0.134404;2.726201;0.044094;0.842272;-0.532415;2.000000;-0.543956;-0.255434;2.977334;0.044786;0.842365;-0.532357;2.000000;-0.333355;-0.057902;2.546411;0.646636;0.547175;-0.360173;2.000000;-0.605392;-0.073735;2.529899;0.653193;-0.533789;0.419506;2.000000;-0.462317;-0.251016;2.953897;0.538642;0.670002;-0.428826;2.000000;-0.613487;-0.254089;2.934856;-0.480019;0.687384;-0.511207;2.000000;-0.300093;-0.211287;2.659120;0.824885;0.230450;0.465261;2.000000;-0.408126;-0.363311;2.508013;0.572489;-0.427250;0.699236;1.000000;-0.440038;-0.408341;2.470974;0.591140;-0.401564;0.699490;2.000000;-0.459453;-0.459105;2.432844;0.000000;0.000000;0.000000;2.000000;-0.400125;-0.419892;2.463158;0.000000;0.000000;0.000000;2.000000;-0.686751;-0.227800;2.561268;0.872585;-0.253910;-0.416815;2.000000;-0.607495;-0.336622;2.432935;0.719071;0.421785;-0.524862;1.000000;-0.586704;-0.377594;2.436833;0.866482;0.187179;-0.439876;2.000000;-0.588940;-0.429431;2.413535;0.000000;0.000000;0.000000;2.000000;-0.613852;-0.425638;2.396588;0.000000;0.000000;0.000000;2.000000;-0.437841;-0.418281;2.577425;0.548504;-0.388330;0.633876;2.000000;-0.465096;-0.781720;2.585265;0.581390;-0.013015;0.812694;2.000000;-0.445936;-0.835968;2.518680;0.000000;0.000000;0.000000;2.000000;-0.597429;-0.384816;2.542823;0.581305;0.424676;-0.565802;2.000000;-0.594869;-0.736033;2.599717;0.725480;-0.052379;-0.683543;2.000000;-0.588194;-0.797501;2.502738;0.000000;0.000000;0.00000
1664462786.144256;2022-09-29_15:46:26.144256;2.000000;-0.429213;0.097986;2.391611;0.000000;0.000000;0.000000;2.000000;-0.445353;0.004677;2.434924;0.058066;0.839012;-0.537176;2.000000;-0.458069;-0.027109;2.503205;0.056877;0.843872;-0.529621;2.000000;-0.494402;-0.122814;2.699367;0.059414;0.848068;-0.523358;2.000000;-0.540677;-0.250486;2.951998;0.063297;0.848474;-0.522902;2.000000;-0.322859;-0.049975;2.530858;0.685075;0.512161;-0.335264;2.000000;-0.591578;-0.045200;2.491193;0.622201;-0.574889;0.423956;2.000000;-0.461473;-0.250622;2.928562;0.560541;0.658987;-0.431995;2.000000;-0.607751;-0.244588;2.909550;-0.462257;0.708273;-0.499268;2.000000;-0.298253;-0.203060;2.631219;0.819160;0.206257;0.493356;2.000000;-0.390140;-0.376863;2.494411;0.461096;-0.369414;0.806359;1.000000;-0.428388;-0.424256;2.456861;0.481524;-0.399255;0.774168;2.000000;-0.447736;-0.475467;2.426987;0.000000;0.000000;0.000000;2.000000;-0.405015;-0.455182;2.446818;0.000000;0.000000;0.000000;2.000000;-0.672046;-0.207990;2.528553;0.894606;-0.246711;-0.372445;2.000000;-0.598457;-0.340723;2.429661;0.659154;0.361597;-0.657184;1.000000;-0.582289;-0.367519;2.422186;0.715150;0.276718;-0.636366;2.000000;-0.582247;-0.414953;2.406680;0.000000;0.000000;0.000000;2.000000;-0.604446;-0.406004;2.393143;0.000000;0.000000;0.000000;2.000000;-0.439820;-0.398827;2.543353;0.547558;-0.401486;0.616014;2.000000;-0.466343;-0.741280;2.630435;0.610617;0.074394;0.781259;2.000000;-0.446058;-0.811353;2.545723;0.000000;0.000000;0.000000;2.000000;-0.591486;-0.367844;2.514864;0.580552;0.428003;-0.558471;2.000000;-0.593403;-0.716892;2.582144;0.720430;-0.067564;-0.686976;2.000000;-0.589289;-0.790374;2.500623;0.000000;0.000000;0.00000
1664462786.215335;2022-09-29_15:46:26.215335;2.000000;-0.406163;0.144055;2.361007;0.000000;0.000000;0.000000;2.000000;-0.429095;0.051903;2.404416;0.075657;0.858225;-0.505368;2.000000;-0.443153;0.014306;2.472104;0.074430;0.862636;-0.497970;2.000000;-0.483563;-0.098470;2.666997;0.078775;0.865824;-0.492656;2.000000;-0.534836;-0.246696;2.917050;0.084509;0.866206;-0.491705;2.000000;-0.310389;-0.031383;2.514924;0.754938;0.455599;-0.292739;2.000000;-0.571046;0.000581;2.458338;0.628631;-0.600104;0.397330;2.000000;-0.457294;-0.252057;2.892756;0.594753;0.649822;-0.423300;2.000000;-0.600244;-0.235687;2.875243;-0.454780;0.734286;-0.472193;2.000000;-0.292768;-0.172511;2.598271;0.851010;0.171996;0.451486;2.000000;-0.400259;-0.356262;2.491140;0.662116;-0.338349;0.668669;1.000000;-0.429007;-0.407495;2.460945;0.660965;-0.334887;0.671524;2.000000;-0.447875;-0.472728;2.432699;0.000000;0.000000;0.000000;2.000000;-0.400464;-0.429683;2.435136;0.000000;0.000000;0.000000;2.000000;-0.654821;-0.179715;2.502379;0.898612;-0.238262;-0.367703;2.000000;-0.583854;-0.316736;2.411716;-0.599188;-0.342217;0.723722;2.000000;-0.570821;-0.335297;2.409976;0.679906;0.242625;-0.667631;2.000000;-0.562902;-0.398355;2.412787;0.000000;0.000000;0.000000;2.000000;-0.604815;-0.330628;2.397125;0.000000;0.000000;0.000000;2.000000;-0.435402;-0.402116;2.508334;0.546801;-0.400848;0.618521;2.000000;-0.463355;-0.745662;2.591183;0.645598;0.063578;0.753496;2.000000;-0.457213;-0.824510;2.531948;0.000000;0.000000;0.000000;2.000000;-0.582663;-0.366154;2.483075;0.588757;0.420981;-0.557725;2.000000;-0.589013;-0.714907;2.551332;0.711876;-0.073843;-0.695589;2.000000;-0.588465;-0.795608;2.484631;0.000000;0.000000;0.00000
1664462786.281517;2022-09-29_15:46:26.281517;2.000000;-0.381784;0.203924;2.342281;0.000000;0.000000;0.000000;2.000000;-0.407299;0.109703;2.384018;0.087830;0.879901;-0.464358;2.000000;-0.423293;0.065534;2.448558;0.087248;0.885462;-0.453662;2.000000;-0.470266;-0.068950;2.635006;0.100437;0.889545;-0.445236;2.000000;-0.530157;-0.247013;2.875584;0.114981;0.889712;-0.441704;2.000000;-0.294636;-0.014761;2.517997;0.834122;0.374738;-0.211984;2.000000;-0.551915;0.050284;2.430768;0.650730;-0.618072;0.367251;2.000000;-0.454596;-0.261690;2.850033;0.655349;0.624043;-0.401251;2.000000;-0.593158;-0.227953;2.833588;-0.436612;0.774052;-0.432798;2.000000;-0.287827;-0.167900;2.583671;0.865178;0.112626;0.458922;1.000000;-0.396654;-0.350476;2.475752;0.716525;-0.341085;0.607906;1.000000;-0.420902;-0.401085;2.458261;0.743109;-0.263072;0.615041;2.000000;-0.443693;-0.463851;2.435426;0.000000;0.000000;0.000000;2.000000;-0.392931;-0.427945;2.426133;0.000000;0.000000;0.000000;2.000000;-0.639118;-0.147694;2.474913;0.915867;-0.225604;-0.330949;2.000000;-0.580404;-0.301643;2.408810;-0.469960;-0.251595;0.844229;2.000000;-0.559073;-0.327241;2.406960;-0.524553;-0.214217;0.779979;2.000000;-0.568032;-0.384860;2.420544;0.000000;0.000000;0.000000;2.000000;-0.589640;-0.340947;2.414600;0.000000;0.000000;0.000000;2.000000;-0.419429;-0.380110;2.497599;0.519344;-0.409656;0.623561;2.000000;-0.455488;-0.726605;2.566552;0.653546;0.040002;0.748818;2.000000;-0.450009;-0.791245;2.494904;0.000000;0.000000;0.000000;2.000000;-0.570497;-0.376526;2.463717;0.611257;0.402683;-0.558959;2.000000;-0.584565;-0.724768;2.532686;0.742102;-0.079821;-0.662853;2.000000;-0.577507;-0.789406;2.461360;0.000000;0.000000;0.00000
1664462786.349023;2022-09-29_15:46:26.349023;2.000000;-0.356327;0.273293;2.328004;0.000000;0.000000;0.000000;2.000000;-0.370946;0.173994;2.368660;0.085543;0.889476;-0.440674;2.000000;-0.389022;0.126578;2.429762;0.086627;0.895845;-0.426852;2.000000;-0.442685;-0.017973;2.604348;0.102096;0.903537;-0.412086;2.000000;-0.513478;-0.212755;2.827537;0.116427;0.905017;-0.408268;2.000000;-0.268739;0.093461;2.464727;0.756301;0.508410;-0.236243;2.000000;-0.535478;0.103982;2.410753;0.665534;-0.606954;0.364261;2.000000;-0.441422;-0.216687;2.798111;0.618855;0.680278;-0.377154;2.000000;-0.574958;-0.204413;2.793725;-0.511606;0.734440;-0.423360;2.000000;-0.288227;-0.119333;2.548163;0.828002;0.063036;0.527472;1.000000;-0.367998;-0.296841;2.467637;0.558827;-0.276788;0.780464;1.000000;-0.395446;-0.348658;2.467215;0.599916;-0.151991;0.762842;2.000000;-0.409203;-0.411303;2.437509;0.000000;0.000000;0.000000;2.000000;-0.370626;-0.365255;2.458089;0.000000;0.000000;0.000000;2.000000;-0.614329;-0.108703;2.445903;0.944216;-0.189649;-0.267851;2.000000;-0.562162;-0.282555;2.404232;-0.564536;-0.174948;0.805022;1.000000;-0.545703;-0.313669;2.409558;-0.593403;-0.085345;0.764769;2.000000;-0.563685;-0.364306;2.421213;0.000000;0.000000;0.000000;2.000000;-0.577234;-0.305740;2.405143;0.000000;0.000000;0.000000;2.000000;-0.414316;-0.375462;2.498495;0.545590;-0.366740;0.660083;2.000000;-0.454598;-0.721260;2.568417;0.626313;0.040934;0.771136;2.000000;-0.442921;-0.784019;2.493860;0.000000;0.000000;0.000000;2.000000;-0.567751;-0.400384;2.471215;0.637499;0.342265;-0.594300;2.000000;-0.585126;-0.748969;2.537352;-0.686581;0.084664;0.720594;2.000000;-0.591962;-0.825947;2.482202;0.000000;0.000000;0.00000
1664462786.415458;2022-09-29_15:46:26.415458;2.000000;-0.331183;0.335811;2.325770;0.000000;0.000000;0.000000;2.000000;-0.357205;0.242316;2.370188;0.073503;0.932798;-0.340677;2.000000;-0.372819;0.183113;2.418834;0.092837;0.945912;-0.292537;2.000000;-0.424642;0.005755;2.535508;0.087787;0.954279;-0.278632;2.000000;-0.485303;-0.242269;2.691225;0.098666;0.956030;-0.274968;2.000000;-0.246208;0.145253;2.458503;0.788712;0.540156;-0.123024;2.000000;-0.517744;0.157421;2.399149;0.715220;-0.626011;0.273804;2.000000;-0.407728;-0.248502;2.663692;0.675753;0.678754;-0.284794;2.000000;-0.551011;-0.230119;2.653009;-0.548607;0.760357;-0.346570;2.000000;-0.277626;-0.076290;2.518374;0.842185;0.010128;0.518603;2.000000;-0.359187;-0.280111;2.463240;0.470663;-0.198647;0.853644;1.000000;-0.389791;-0.340959;2.474124;0.496844;-0.047266;0.833207;2.000000;-0.414783;-0.402728;2.455833;0.000000;0.000000;0.000000;2.000000;-0.349025;-0.364566;2.493077;0.000000;0.000000;0.000000;2.000000;-0.588092;-0.062533;2.430664;0.941949;-0.166504;-0.290850;2.000000;-0.545323;-0.231652;2.390162;0.829754;0.163872;-0.532623;1.000000;-0.536108;-0.265343;2.397923;0.851278;0.057485;-0.496114;2.000000;-0.527101;-0.305764;2.404134;0.000000;0.000000;0.000000;2.000000;-0.546056;-0.281514;2.378800;0.000000;0.000000;0.000000;2.000000;-0.409339;-0.480452;2.468642;0.605907;-0.263592;0.718020;2.000000;-0.452747;-0.739619;2.574073;0.567942;0.109475;0.796938;2.000000;-0.441400;-0.813761;2.536485;0.000000;0.000000;0.000000;2.000000;-0.566109;-0.462940;2.460555;-0.672063;-0.217700;0.658203;2.000000;-0.585045;-0.764340;2.535587;0.710854;-0.106745;-0.692083;2.000000;-0.586332;-0.823744;2.477324;0.000000;0.000000;0.00000
1664462786.483622;2022-09-29_15:46:26.483622;2.000000;-0.316842;0.369052;2.345049;0.000000;0.000000;0.000000;2.000000;-0.366624;0.257166;2.391960;0.061525;0.945124;-0.303327;2.000000;-0.378935;0.201804;2.430343;0.067417;0.948907;-0.288728;2.000000;-0.417567;0.034501;2.538618;0.059535;0.954620;-0.269398;2.000000;-0.464085;-0.192010;2.672476;0.058339;0.954112;-0.269659;2.000000;-0.230493;0.173638;2.462080;0.755225;0.588998;-0.144413;2.000000;-0.500168;0.204848;2.387959;-0.623155;0.709123;-0.315961;2.000000;-0.377894;-0.191209;2.661052;0.668498;0.698039;-0.220240;2.000000;-0.537418;-0.184608;2.620080;-0.564918;0.735013;-0.374089;2.000000;-0.270302;-0.052473;2.503274;0.827888;-0.022685;0.547072;2.000000;-0.341247;-0.274341;2.466497;0.483873;-0.143954;0.858071;1.000000;-0.371676;-0.335465;2.465552;0.495693;-0.122671;0.837764;2.000000;-0.390748;-0.401786;2.449534;0.000000;0.000000;0.000000;2.000000;-0.346775;-0.352029;2.466399;0.000000;0.000000;0.000000;2.000000;-0.571890;-0.015989;2.415040;0.955495;-0.165262;-0.243671;2.000000;-0.540877;-0.212661;2.388322;-0.468808;-0.095531;0.877342;1.000000;-0.524282;-0.264514;2.396336;-0.476820;-0.009367;0.862423;2.000000;-0.523753;-0.339952;2.390134;0.000000;0.000000;0.000000;2.000000;-0.554521;-0.258628;2.401158;0.000000;0.000000;0.000000;2.000000;-0.404748;-0.464095;2.518876;0.637035;-0.208317;0.732075;2.000000;-0.453202;-0.743847;2.575709;0.507186;0.041885;0.851965;2.000000;-0.429674;-0.817950;2.524789;0.000000;0.000000;0.000000;2.000000;-0.525522;-0.479079;2.465682;0.797786;0.151329;-0.553242;2.000000;-0.585444;-0.758668;2.528900;0.780739;-0.148706;-0.606478;2.000000;-0.574317;-0.809803;2.460470;0.000000;0.000000;0.00000
1664462786.543523;2022-09-29_15:46:26.543523;2.000000;-0.298383;0.407413;2.342326;0.000000;0.000000;0.000000;2.000000;-0.355645;0.297348;2.387751;0.050054;0.949973;-0.277558;2.000000;-0.367256;0.239776;2.422935;0.051484;0.955089;-0.257943;2.000000;-0.401737;0.063708;2.520747;0.057152;0.962505;-0.235070;2.000000;-0.447268;-0.175990;2.639785;0.061069;0.964419;-0.234083;2.000000;-0.208095;0.222541;2.460773;0.735349;0.621529;-0.107930;2.000000;-0.487368;0.234717;2.378215;-0.651350;0.690431;-0.308971;2.000000;-0.363578;-0.181160;2.625339;0.696941;0.680070;-0.211316;2.000000;-0.516485;-0.165386;2.585674;-0.557218;0.745249;-0.359995;2.000000;-0.245599;-0.007390;2.488815;0.866877;-0.040505;0.488330;1.000000;-0.314778;-0.230986;2.461861;0.422275;-0.115993;0.892305;1.000000;-0.344177;-0.295468;2.459026;0.428067;-0.111327;0.878260;2.000000;-0.368335;-0.360582;2.449710;0.000000;0.000000;0.000000;2.000000;-0.311624;-0.303382;2.472625;0.000000;0.000000;0.000000;2.000000;-0.559121;0.013133;2.402776;0.959756;-0.163370;-0.227875;2.000000;-0.526468;-0.185136;2.376890;-0.543740;-0.098072;0.832861;1.000000;-0.512299;-0.240247;2.378763;-0.550848;-0.055861;0.824959;2.000000;-0.504113;-0.310732;2.371364;0.000000;0.000000;0.000000;2.000000;-0.548874;-0.230188;2.377834;0.000000;0.000000;0.000000;2.000000;-0.394074;-0.488185;2.514920;0.618252;-0.162900;0.765650;2.000000;-0.449018;-0.758953;2.577089;0.621143;0.024757;0.769572;2.000000;-0.443831;-0.830650;2.509851;0.000000;0.000000;0.000000;2.000000;-0.503780;-0.486143;2.434441;0.813232;0.135967;-0.539088;2.000000;-0.564928;-0.747278;2.494895;0.813508;-0.155900;-0.559571;2.000000;-0.546137;-0.823977;2.421897;0.000000;0.000000;0.00000
